Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,67.6999969482422
1983,
1984,
1985,
1986,
1987,68.0999984741211
1988,
1989,
1990,79
1991,
1992,
1993,
1994,
1995,77.4000015258789
1996,77.4000015258789
1997,77.3000030517578
1998,77.8000030517578
1999,77.5999984741211
2000,76.8000030517578
2001,74.6999969482422
2002,74.6999969482422
2003,74.4000015258789
2004,73.8000030517578
2005,73
2006,72.3000030517578
2007,71.9000015258789
2008,71.5999984741211
2009,71.1999969482422
2010,71
2011,69.8000030517578
2012,
2013,
2014,
